sail,full_name,location,deadline,link,keywords,qualis,_full_name,similarity,_sail,when_start,when_end
AMLDS 2025,IEEE--2025 International Conference on Advanced Machine Learning and Data Science," Tokyo, Japan",2025-02-10,https://amlds.site/,"machine learning, deep learning, artificial intelligence, data mining",A2,IEEE International Conference on Machine Learning and Applications,26,ICMLA,2025-07-19,2025-07-21
ecml-pkdd-journal-track 2025,Journal Track with ECML PKDD 2025,N/A,2025-02-14,https://ecmlpkdd.org/2025/submissions-journal-track/,"machine learning, knowledge discovery, data mining",B4,Mostra Nacional de Robótica,26,MNR,,
25th EANN/EAAAI 2025,25th (EANN/EAAAI) Engineering Applications and Advances of of Artificial Intelligence,CYPRUS Lemesos city,2025-02-15,https://ifipaiai.org/2025/,"artificial intelligence, neural networks, deep learning, machine learning",B2,International Conference on Artificial Intelligence,46,ICAIWC,2025-06-26,2025-06-29
SPML 2025,2025 8th International Conference on Signal Processing and Machine Learning (SPML 2025),"Hohhot, China",2025-02-15,http://www.spml.net,"signal processing, computer graphics, information technology, communications",B4,"International Conference on Signal, Image Processing and Multimedia",40,SPM,2025-07-15,2025-07-17
SPML--EI 2025,2025 8th International Conference on Signal Processing and Machine Learning (SPML 2025),"Hohhot, China",2025-02-15,http://www.spml.net,"image processing, artificial intelligence, machine learning, information security",B4,"International Conference on Signal, Image Processing and Multimedia",40,SPM,2025-07-15,2025-07-17
21st AIAI 2025,21st (AIAI) Artificial Intelligence Applications and Innovations,CYPRUS Lemesos city,2025-02-15,https://ifipaiai.org/2025/,"artificial intelligence, neural networks, deep learning, machine learning",B3,Conference on Artificial Intelligence in Medicine,35,AIME,2025-06-26,2025-06-29
ICISPC 2025,"2025 Ninth International Conference on Imaging, Signal Processing and Communications (ICISPC 2025)","Osaka, Japan",2025-02-20,http://www.icispc.org,"image processing, communications, information technology, data management",A2,"International Conference on Computing, Networking and Communications",43,ICNC,2025-07-11,2025-07-13
ICCCI 2025,2025 7th International Conference on Computer Communication and the Internet (ICCCI 2025),"Tokushima University, Japan",2025-02-20,http://www.iccci.org,"computing, communications, information technology, internet",A2,International Conference on Computer Communications and Networks,33,ICCCN,2025-06-27,2025-06-29
Ei/Scopus-CEICE 2025,"2025 2nd International Conference on Electrical, Information and Communication Engineering (CEICE 2025)","Guangzhou, China",2025-02-21,http://www.ceice-conf.net/,"electrical, information, communications, electrical engineering",B1,International Conference on Application of Information and Communication Technologies,42,AICT,2025-03-21,2025-03-23
ACDL 2025,8th Advanced Course on Data Science & Machine Learning,Riva del Sole Resort & SPA - Tuscany,2025-02-23,https://acdl2025.icas.events/,"artificial intelligence, generative ai, deep learning, large language models",A1,International Conference on Machine Learning,29,ICML,2025-06-09,2025-06-13
MeditCom 2025,2025 IEEE International Mediterranean Conference on Communications and Networking,"Nice, France",2025-03-03,https://meditcom2025.ieee-meditcom.org/,,A4,IEEE International Black Sea Conference on Communications and Networking,16,BLACKSEACOM,2025-07-07,2025-07-10
SPIE-Ei/Scopus-CMLDS 2025,"2025 2nd International Conference on Computing, Machine Learning and Data Science (CMLDS 2025) -EI Compendex & Scopus","Xiamen, China",2025-03-25,http://www.cmlds.net/,"computing, machine learning, data science, computer science",B1,International Conference on Machine Learning and Data Mining in Pattern Recognition,57,MLDM,2025-04-25,2025-04-27
SPIE-Ei/Scopus-DMNLP 2025,2025 2nd International Conference on Data Mining and Natural Language Processing (DMNLP 2025)-EI Compendex&Scopus,"Xiamen, China",2025-03-25,http://www.dmnlp.net/ ,"computing, machine learning, data science, computer science",A3,International Conference on Recent Advances in Natural Language Processing,57,RANLP,2025-04-25,2025-04-27
SOMET 2025,24th International Conference on Intelligent Software Methodologies Tools and Techniques,KitaKyushu -Japan,2025-04-01,https://www.i-somet.org/somet2025/,"intelligent software, software engineering, legacy system, formal verification",B4,IEEE International Conference on Imaging Systems and Techniques,36,IEEE IST,2025-09-23,2025-09-26
ICELI 2025,"The 11th International Conference on Education, Learning and Innovation（ICELI 2025）","Guilin, China",2025-04-09,https://www.academicx.org/ICELI/2025/,"education, learning, innovation, international conference",B3,"International Conference of Education, Research and Innovation",29,ICERI,2025-04-19,2025-04-21
GLECC 2025,"GLECC 2025 - International Conference on Globalisation in Languages, Education, Culture, and Communication","Manchester, UK",2025-04-30,https://glecc.org/2025/,"communication, languages, education, culture",B1,International Conference on Ubiquitous Information Management and Communication,50,IMCOM,2025-07-30,2025-07-31
Hong Kong-MIST 2025,2025 Asia-Pacific Conference on Marine Intelligent Systems and Technologies (MIST 2025),"Hong Kong, China",2025-04-30,https://www.mist2025.org/,"robotics, machine learning, information systems, AI",A4,Iberian Conference on Information Systems and Technologies,42,CISTI,2025-11-06,2025-11-08
From Data to Decision: Empowering Ecosys 2025,The International Society for Ecological Modelling Global Conference:,"Kashiwa-no-ha Conference Centre, Kashiwa",2025-05-02,https://www.elsevier.com/events/conferences/all/international-society-for-ecological-modelling-global-conference,"ecological modelling, modelling, machine learning, network modelling",A1,International Society for Music Information Retrieval Conference,28,ISMIR,2025-10-19,2025-10-23
I3E 2025,"The 24th IFIP Conference e-Business, e-Services, and e-Society","5* St. Raphael Resort and Marina, Limass",2025-05-19,https://cyprusconferences.org/i3e2025/,"e-business, e-services, e-society, e-learning ",A2,"AAAI/ACM Conference on AI, Ethics, and Society",31,AIES,2025-09-09,2025-09-11
ICPRS 2025,15th International Conference on Pattern Recognition Systems,"Vina del Mar, Chile",2025-08-03,http://www.icprs.org,"pattern recognition, machine learning, artificial intelligence",A1,International Conference on Pattern Recognition,13,ICPR,2025-12-01,2025-12-04
IMCOM 2025,19th International Conference on Ubiquitous Information Management and Communication,"Bangkok, Thailand & Online",2025-09-15,http://imcom.org/,"intelligent information proces, information management, networking/telecommunications, social interaction",B1,International Conference on Ubiquitous Information Management and Communication,5,IMCOM,2025-01-03,2025-01-05
ICMCT&A 2025,"ICMCT&A´25 - The 2025 International Conference on Marketing, Communication, Technologies and Applications",Bogotá,2025-11-01,https://www.icmcta.org,"marketing, tecnologie",B4,International Conference on Cloud Computing Technologies and Applications,39,CLOUDTECH,2025-03-20,2025-03-22
MobiCASE 2025,"16th EAI International Conference on Mobile Computing, Applications and Services","Hainan, Lingshui, China",,https://mobicase.eai-conferences.org/2025/,"machine learning, intelligent communications, natural language processing, computer vision",A1,"Annual International Conference on Mobile Systems, Applications, and Services",17,MobiSys,2025-11-08,2025-11-10
ASPAI 2025,7th International Conference on Advances in Signal Processing and Artificial Intelligence,"Austria Trend Hotel Congress, Innsbruck,",,https://aspai-conference.com/,"signal processin, artificial intelligence, machine learning, deep learning",B2,International Conference on Modeling Decisions for Artificial Intelligence,28,MDAI,2025-04-08,2025-04-10
AiMH 2025,1st International Conference on AI in Medicine and Healthcare,Austria Trend Hotel Congress Innsbruck,,https://aimh-conference.com/,"artificial intelligence, machine learning, medicine, helthcare",A4,International Conference on Digital Health,23,CDH,2025-04-08,2025-04-10
ICSTTE 2025,"2025 3rd International Conference on SmartRail, Traffic and Transportation Engineering (ICSTTE 2025)","Pingtan Island, China",,http://2025.icstte.org/,"artificial intelligence, machine learning",B2,International Conference on Robotics and Automation Engineering,47,ICRAE,2025-11-07,2025-11-09
LCS 2025,"12th International Conference on Language, Communication, and Society 2025","Bangkok, Thailand",,https://languages3000.com/,"language, communication, literature, linguistics",A2,"IEEE International Conference on Sensing, Communication and Networking",22,SECON,2025-07-22,2025-07-23
MLIS,The 6th International Conference on Machine Learning and Intelligent Systems (MLIS 2024),"Universiti Tunku Abdul Rahman, Malaysia",,http://www.machinelearningconf.org/,"machine learning, intelligent system, expert system, robot",A2,IEEE International Conference on Machine Learning and Applications,34,ICMLA,2024-11-17,2024-11-20
